food,Energy (kcal),Fat (g),Saturated fat (g),Carbohydrates (g),Sugars (g),Proteins (g)
"Signature Bread, Wheat",424.78,5.31,1.33,77.88,5.31,16.81
"Signature Bread, White",429.82,5.26,1.32,80.7,4.39,14.04
Olive Oil,888.89,100.0,12.96,0.0,0.0,0.0
Chicken Caesar Wrap,538.46,32.69,6.73,34.62,1.92,32.69
Chicken Noodle Soup,457.14,8.57,0.0,62.86,11.43,28.57
"Crackers, Oyster, Zesta, Keebler, 0.5 oz",500.0,8.33,0.0,83.33,0.0,8.33
Chocolate Chip Cookies,510.2,24.49,12.24,71.43,40.82,4.08
Sugar Cookies,500.0,20.83,10.42,75.0,41.67,4.17
Chocolate Cake with Chocolate Frosting,468.75,15.62,7.81,78.12,53.12,6.25
Iced Brownies,500.0,16.67,0.0,83.33,66.67,0.0
Fresh Celery,0.0,0.0,0.0,100.0,0.0,0.0
Fresh Mushrooms,0.0,0.0,0.0,50.0,0.0,50.0
Peppers,0.0,0.0,0.0,100.0,0.0,0.0
Black Olives,666.67,66.67,16.67,33.33,0.0,0.0
Roasted Butternut Squash,413.79,17.24,0.0,75.86,13.79,6.9
Roasted Corn,400.0,12.0,0.0,80.0,16.0,8.0
Curry Roasted Cauliflower,647.06,52.94,5.88,35.29,11.76,11.76
Parmesan Cheese,571.43,35.71,25.0,7.14,0.0,57.14
Cheddar Cheese,687.5,56.25,31.25,6.25,0.0,37.5
Hard Boiled Egg,636.36,45.45,13.64,0.0,0.0,54.55
california pasta salad,464.29,10.71,1.79,71.43,10.71,17.86
Three Bean Salad,461.54,11.54,0.0,76.92,53.85,11.54
Quinoa Salad,500.0,21.67,5.0,61.67,6.67,16.67
Toasted Sesame Dressing,666.67,66.67,8.33,16.67,0.0,16.67
Ranch,875.0,93.75,12.5,6.25,6.25,0.0
Italian Dressing,785.71,85.71,14.29,14.29,14.29,0.0
Balsamic Vinaigrette Dressing,631.58,47.37,0.0,52.63,42.11,0.0
Fat Free Raspberry Dressing,375.0,0.0,0.0,100.0,87.5,0.0
Fat Free Cottage Cheese,416.67,0.0,0.0,33.33,16.67,66.67
Cream Cheese,714.29,71.43,42.86,14.29,14.29,14.29
Maple Honey Cream Cheese,714.29,64.29,35.71,21.43,21.43,14.29
Strawberry Cream Cheese,714.29,57.14,35.71,28.57,21.43,14.29
Butter PC,875.0,100.0,56.25,0.0,0.0,0.0
"Margarine, Smart Balance, 5g",1000.0,100.0,33.33,0.0,0.0,0.0
Watermelon,375.0,0.0,0.0,91.67,75.0,8.33
Red Seedless Grapes,357.14,0.0,0.0,100.0,85.71,0.0
Cubed Pineapple,400.0,0.0,0.0,100.0,80.0,0.0
Cubed Cantaloupe,500.0,0.0,0.0,100.0,100.0,0.0
Shredded Vegan Cheddar Cheese,571.43,42.86,0.0,57.14,0.0,0.0
Garbanzo Beans,437.5,6.25,0.0,68.75,12.5,25.0
Black Beans,428.57,0.0,0.0,71.43,0.0,28.57
Salsa,500.0,0.0,0.0,100.0,50.0,0.0
Sweet and Sour Tofu,434.21,10.53,1.32,65.79,38.16,23.68
Tempeh,500.0,33.33,0.0,33.33,0.0,33.33
Hummus,583.33,50.0,0.0,33.33,0.0,16.67
Dark Red Kidney Beans,416.67,0.0,0.0,75.0,8.33,25.0
Sliced Dill Pickles,0.0,0.0,0.0,100.0,0.0,0.0
Cilantro Lime Slaw with Fish Sauce,631.58,47.37,0.0,42.11,21.05,10.53
Dill Relish,400.0,0.0,0.0,100.0,0.0,0.0
Sriracha Ketchup,300.0,0.0,0.0,100.0,80.0,0.0
Jalapeno Peppers,333.33,11.11,0.0,66.67,22.22,22.22
Sweet Thai Chili Sauce,388.89,0.0,0.0,100.0,83.33,0.0
Shredded Cheddar Cheese,680.0,56.0,32.0,4.0,0.0,40.0
Fried Tortilla Strips,416.67,16.67,0.0,66.67,0.0,16.67
Baked Wonton Strips,444.44,11.11,0.0,66.67,0.0,22.22
Sunflower Seeds,633.33,53.33,5.0,26.67,3.33,20.0
Raisins,357.14,0.0,0.0,100.0,85.71,0.0
Croutons,424.24,3.03,0.0,78.79,6.06,18.18
Canola Oil,888.89,100.0,7.41,0.0,0.0,0.0
Soy Sauce,0.0,0.0,0.0,0.0,0.0,100.0
Seasoned Rice Vinegar,750.0,0.0,0.0,100.0,0.0,0.0
2% Milk,480.0,20.0,12.0,48.0,48.0,32.0
Skim Milk,400.0,0.0,0.0,60.0,60.0,40.0
Low Fat Chocolate Milk,432.43,8.11,4.05,67.57,67.57,24.32
Rice Milk,458.33,8.33,0.0,87.5,50.0,4.17
Soy Milk,472.73,16.36,0.0,54.55,36.36,29.09
Grapefruit,350.0,0.0,0.0,90.0,60.0,10.0
Apple,388.89,0.0,0.0,100.0,77.78,0.0
Granny Smith Apple,388.89,0.0,0.0,100.0,77.78,0.0
Banana,375.0,0.0,0.0,95.83,50.0,4.17
Orange,400.0,0.0,0.0,93.33,73.33,6.67
Low Fat Strawberry Yogurt,400.0,5.45,3.64,76.36,76.36,18.18
Low Fat Vanilla Yogurt,415.09,1.89,0.0,83.02,60.38,15.09
Granola,488.89,20.0,2.22,73.33,42.22,6.67
Honey,352.94,0.0,0.0,100.0,100.0,0.0
Creamy Peanut Butter,625.0,50.0,9.38,25.0,12.5,25.0
Nutella,526.32,31.58,26.32,63.16,52.63,5.26
Grape Jelly,400.0,0.0,0.0,100.0,73.33,0.0
Orange Marmalade,357.14,0.0,0.0,100.0,85.71,0.0
Strawberry Jelly Preserves,428.57,0.0,0.0,100.0,71.43,0.0
Unsalted Butter,833.33,100.0,58.33,0.0,0.0,0.0
Smart Balance Margarine,900.0,100.0,20.0,0.0,0.0,0.0
1% Cottage Cheese,421.05,5.26,0.0,21.05,21.05,73.68
Mild Picante Salsa,500.0,0.0,0.0,100.0,50.0,0.0
Oreo Crumbles,538.46,23.08,0.0,76.92,46.15,0.0
Syrup,375.0,0.0,0.0,100.0,33.33,0.0
Waffle Batter,433.57,6.29,0.7,85.31,8.39,8.39
Cheerios,400.0,8.0,0.0,80.0,4.0,12.0
Rice Chex,431.37,1.96,0.0,90.2,7.84,7.84
Cocoa Puffs,411.76,5.88,0.0,88.24,38.24,5.88
Lucky Charms,405.8,4.35,0.0,86.96,34.78,8.7
Cinnamon Toast Crunch,447.37,10.53,1.32,86.84,31.58,2.63
Total Raisin Bran,367.35,2.04,0.0,91.84,36.73,6.12
"Peanut Butter, .75 oz, Jif",619.05,52.38,9.52,23.81,9.52,23.81
"Jelly, Assorted",400.0,0.0,0.0,100.0,70.0,0.0
