food,Energy (kcal),Fat (g),Saturated fat (g),Carbohydrates (g),Sugars (g),Proteins (g),nutriscore
Grilled Chicken,500.0,23.33,5.0,0.0,0.0,76.67,3.205
All Beef Hot Dog,692.31,65.38,26.92,7.69,3.85,26.92,3.22
Croutons,424.24,3.03,0.0,78.79,6.06,18.18,3.245
Diced Bacon,692.31,53.85,15.38,0.0,0.0,46.15,3.25
Dark Red Kidney Beans,416.67,0.0,0.0,75.0,8.33,25.0,3.295
Black Beans,428.57,0.0,0.0,71.43,0.0,28.57,3.335
Moroccan Lamb and Tomato,562.5,31.25,9.38,25.0,12.5,43.75,3.375
Free Range Eggs,666.67,50.0,12.5,0.0,0.0,50.0,3.38
"Signature Bread, Wheat",424.78,5.31,1.33,77.88,5.31,16.81,3.395
Thinly Sliced Deli Turkey Breast,500.0,16.67,0.0,16.67,0.0,66.67,3.405
Sweet and Sour Tofu,434.21,10.53,1.32,65.79,38.16,23.68,3.445
Sliced Capicola,437.5,12.5,0.0,25.0,12.5,62.5,3.485
Buffalo Chicken Pizza,476.19,16.67,7.14,40.48,2.38,42.86,3.575
Chicken Noodle Soup,457.14,8.57,0.0,62.86,11.43,28.57,3.585
Cheese Pizza,526.32,26.32,11.84,47.37,2.63,26.32,3.6
Classic Hummus,452.83,15.09,1.89,62.26,9.43,22.64,3.625
Smashed Black Beans,448.98,10.2,0.0,65.31,4.08,24.49,3.635
Garbanzo Beans,437.5,6.25,0.0,68.75,12.5,25.0,3.645
creamy overnight oats,450.0,10.0,3.75,70.0,22.5,20.0,3.665
Ginger Miso Glazed PAOW,481.48,18.52,0.0,37.04,18.52,44.44,3.685
Edamame,466.67,20.0,1.67,33.33,6.67,46.67,3.685
Grilled Marinated Tilapia,512.2,24.39,4.88,2.44,0.0,73.17,3.685
Baked Wonton Strips,444.44,11.11,0.0,66.67,0.0,22.22,3.695
Whole Wheat Bread,448.98,6.12,0.0,73.47,8.16,20.41,3.715
Soy Milk,472.73,16.36,0.0,54.55,36.36,29.09,3.795
california pasta salad,464.29,10.71,1.79,71.43,10.71,17.86,3.825
Chicken Caesar Wrap,538.46,32.69,6.73,34.62,1.92,32.69,3.835
Skim Milk,400.0,0.0,0.0,60.0,60.0,40.0,3.855
White Hamburger Bun,441.18,5.88,0.0,79.41,11.76,14.71,3.94
Chicken Salad,619.05,42.86,7.14,0.0,0.0,57.14,3.965
Sliced Provolone Cheese,625.0,50.0,31.25,6.25,0.0,43.75,3.975
"Signature Bread, White",429.82,5.26,1.32,80.7,4.39,14.04,4.08
Peppers,0.0,0.0,0.0,100.0,0.0,0.0,4.0817153209109724
Dried Oregano,0.0,0.0,0.0,100.0,0.0,0.0,4.0817153209109724
Fresh Celery,0.0,0.0,0.0,100.0,0.0,0.0,4.0817153209109724
Sliced Dill Pickles,0.0,0.0,0.0,100.0,0.0,0.0,4.0817153209109724
Sliced Tomatoes,0.0,0.0,0.0,100.0,0.0,0.0,4.0817153209109724
2% Milk,480.0,20.0,12.0,48.0,48.0,32.0,4.085
Sliced Pepper Jack Cheese,687.5,56.25,31.25,0.0,0.0,43.75,4.095
Low Fat Vanilla Yogurt,415.09,1.89,0.0,83.02,60.38,15.09,4.095
Tempeh,500.0,33.33,0.0,33.33,0.0,33.33,4.165
Oven Barbecued Pork Chops,539.47,25.0,6.58,26.32,18.42,48.68,4.175
Sliced Sharp Cheddar Cheese,687.5,56.25,31.25,6.25,0.0,37.5,4.225
Cheddar Cheese,687.5,56.25,31.25,6.25,0.0,37.5,4.225
Quinoa Salad,500.0,21.67,5.0,61.67,6.67,16.67,4.253
"Peanut Butter, .75 oz, Jif",619.05,52.38,9.52,23.81,9.52,23.81,4.305
Creamy Peanut Butter,625.0,50.0,9.38,25.0,12.5,25.0,4.335
Baked Marinated Tofu,518.52,33.33,3.7,22.22,7.41,44.44,4.405
FIT Tuna Salad,600.0,40.0,3.33,6.67,0.0,53.33,4.505
Shredded Cheddar Cheese,680.0,56.0,32.0,4.0,0.0,40.0,4.553333333333333
Traditional Hummus,583.33,33.33,0.0,50.0,16.67,16.67,5.242999999999999
Toasted Sesame Dressing,666.67,66.67,8.33,16.67,0.0,16.67,5.353
Sunflower Seeds,633.33,53.33,5.0,26.67,3.33,20.0,5.375
Snap Peas with Red Pepper,615.38,38.46,0.0,46.15,30.77,15.38,5.393
Low Fat Strawberry Yogurt,400.0,5.45,3.64,76.36,76.36,18.18,5.4
Roasted Sunflower Seeds,562.5,50.0,0.0,25.0,0.0,25.0,5.415
Tahini Sauce,642.86,57.14,7.14,28.57,0.0,14.29,5.5729999999999995
Low Fat Chocolate Milk,432.43,8.11,4.05,67.57,67.57,24.32,5.705
Hummus,583.33,50.0,0.0,33.33,0.0,16.67,5.992999999999999
Strawberry Cream Cheese,714.29,57.14,35.71,28.57,21.43,14.29,6.181333333333333
Maple Honey Cream Cheese,714.29,64.29,35.71,21.43,21.43,14.29,6.381333333333333
"12"" Tomato Basil Flour Tortilla",461.54,13.85,6.15,72.31,0.0,13.85,7.955
Cheerios,400.0,8.0,0.0,80.0,4.0,12.0,8.315
Grapefruit,350.0,0.0,0.0,90.0,60.0,10.0,8.82
Garlic Breadstick ,470.59,17.65,8.82,70.59,5.88,11.76,9.585
Golden Raisins,375.0,0.0,0.0,100.0,87.5,0.0,9.6175
Dried Cranberries,366.67,0.0,0.0,100.0,86.67,0.0,9.6175
Fat Free Raspberry Dressing,375.0,0.0,0.0,100.0,87.5,0.0,9.6175
Garlic Knots,462.69,14.93,0.75,71.64,2.99,13.43,9.63
Curry Roasted Cauliflower,647.06,52.94,5.88,35.29,11.76,11.76,9.652
Watermelon,375.0,0.0,0.0,91.67,75.0,8.33,9.67
Red Seedless Grapes,357.14,0.0,0.0,100.0,85.71,0.0,9.7375
Raisins,357.14,0.0,0.0,100.0,85.71,0.0,9.7375
Orange Marmalade,357.14,0.0,0.0,100.0,85.71,0.0,9.7375
Naan Bread,466.67,6.67,0.0,80.0,0.0,13.33,9.74
Pitted Dates,363.64,0.0,0.0,95.45,81.82,4.55,9.7575
Sriracha Ketchup,300.0,0.0,0.0,100.0,80.0,0.0,9.8075
Cilantro Lime Brown Rice ,427.18,2.91,0.0,87.38,0.0,9.71,9.835
Cilantro Lime Slaw with Fish Sauce,631.58,47.37,0.0,42.11,21.05,10.53,9.917
tomato soup with garden vegetables,473.68,21.05,2.63,68.42,26.32,10.53,9.93
Samosa Chaat,442.62,9.84,1.64,78.69,36.07,11.48,10.08
"12"" Spinach Herb Tortilla",460.32,12.7,6.35,74.6,0.0,12.7,10.115
Honey,352.94,0.0,0.0,100.0,100.0,0.0,10.115
"12"" Garlic Herb Flour Tortilla",461.54,13.85,6.15,73.85,1.54,12.31,10.125
"12"" Whole Wheat Flour Tortilla",460.32,14.29,6.35,74.6,6.35,11.11,10.245
Oats 'n Honey Granola,472.73,16.36,0.0,72.73,29.09,10.91,10.29
Cubed Pineapple,400.0,0.0,0.0,100.0,80.0,0.0,10.3175
Lucky Charms,405.8,4.35,0.0,86.96,34.78,8.7,10.36
Syrup,375.0,0.0,0.0,100.0,33.33,0.0,10.385
Total Raisin Bran,367.35,2.04,0.0,91.84,36.73,6.12,10.385
Roasted Corn,400.0,12.0,0.0,80.0,16.0,8.0,10.445
Dill Relish,400.0,0.0,0.0,100.0,0.0,0.0,10.455
Sweet Thai Chili Sauce,388.89,0.0,0.0,100.0,83.33,0.0,10.4575
Basmati Rice,407.41,0.0,0.0,92.59,0.0,7.41,10.48
Three Bean Salad,461.54,11.54,0.0,76.92,53.85,11.54,10.485
Banana,375.0,0.0,0.0,95.83,50.0,4.17,10.5
 Diced Onions,375.0,0.0,0.0,100.0,50.0,0.0,10.5
Fresh Cantaloupe ,400.0,0.0,0.0,93.33,93.33,6.67,10.5475
Unsalted Butter,833.33,100.0,58.33,0.0,0.0,0.0,10.636666666666667
Butter PC,875.0,100.0,56.25,0.0,0.0,0.0,10.671666666666667
Cream Cheese,714.29,71.43,42.86,14.29,14.29,14.29,10.708
Roasted Butternut Squash,413.79,17.24,0.0,75.86,13.79,6.9,10.745
Waffle Batter,433.57,6.29,0.7,85.31,8.39,8.39,10.795
Granny Smith Apple,388.89,0.0,0.0,100.0,77.78,0.0,10.8275
Apple,388.89,0.0,0.0,100.0,77.78,0.0,10.8275
Bread & Butter Pickles,416.67,0.0,0.0,100.0,83.33,0.0,10.9175
Orange,400.0,0.0,0.0,93.33,73.33,6.67,11.0
Grape Jelly,400.0,0.0,0.0,100.0,73.33,0.0,11.0
"Jelly, Assorted",400.0,0.0,0.0,100.0,70.0,0.0,11.0325
Shredded Sharp American Cheese,833.33,66.67,50.0,0.0,0.0,33.33,11.043333333333333
French Fries,551.72,34.48,0.0,62.07,0.0,3.45,11.151999999999997
Rice Chex,431.37,1.96,0.0,90.2,7.84,7.84,11.205
Shredded Vegan Cheddar Cheese,571.43,42.86,0.0,57.14,0.0,0.0,11.211999999999998
Red Potato Salad,516.13,25.81,4.84,67.74,6.45,6.45,11.266999999999998
Beet Salad,480.0,28.0,0.0,64.0,40.0,8.0,11.306999999999999
Cocoa Puffs,411.76,5.88,0.0,88.24,38.24,5.88,11.55
Canola Oil,888.89,100.0,7.41,0.0,0.0,0.0,11.571999999999997
Olive Oil,888.89,100.0,12.96,0.0,0.0,0.0,11.631999999999998
Ranch,875.0,93.75,12.5,6.25,6.25,0.0,11.651999999999997
Mayonnaise,900.0,100.0,15.0,0.0,0.0,0.0,11.651999999999997
Chipotle Garlic Ranch,866.67,93.33,13.33,6.67,6.67,0.0,11.651999999999997
Cinnamon Toast Crunch,447.37,10.53,1.32,86.84,31.58,2.63,11.67
Marinated Olives,714.29,85.71,14.29,14.29,0.0,0.0,11.671999999999999
